Image_Name,Class_Label,MSGGGF_0,MSGGGF_1,MSGGGF_2,MSGGGF_3,MSGGGF_4,MSGGGF_5,MSGGGF_6,MSGGGF_7,MSGGGF_8,MSGGGF_9,MSESGF,MSFDMAF,MSSSF,MSSAMF,FDMA,Amp_Mean,Amp_Var,Amp_Skew,Amp_Kurtosis,Sym_X,Sym_Y
0017MR0000500100100082C00_DRCL.JPG,0,3855.0,7721.0,8759.0,7645.0,5991.0,4479.0,3287.0,2314.0,1600.0,1035.0,14168.0,3977.476489744397,88970209.67775065,12050250425.389078,157.17642211914062,157.17642211914062,320.9577941894531,-0.2095518439714114,1.026794039394204,14.444817543029785,14.367486953735352
0017MR0000500110100083C00_DRCL.JPG,0,3231.0,6533.0,7942.0,7268.0,6364.0,5071.0,3698.0,2703.0,1905.0,1353.0,14626.0,4232.9295167937635,93868293.32393345,12829157528.289003,158.43679809570312,158.43679809570312,325.0265197753906,-0.22492935779000206,1.011439690575422,14.601935386657715,14.453639030456543
0017MR0000500120100084C00_DRCL.JPG,0,3007.0,6397.0,7808.0,7535.0,6483.0,4993.0,3786.0,2722.0,1898.0,1332.0,14821.0,4255.622942873258,92261538.74093091,13070396865.042027,158.8943634033203,158.8943634033203,310.9732971191406,-0.21479868316327802,1.032492024053691,14.383688926696777,14.334874153137207
0017MR0000500320100104C00_DRCL.JPG,0,6190.0,8407.0,7494.0,6453.0,5447.0,4242.0,3192.0,2322.0,1609.0,1066.0,12746.0,3982.807034702404,88384634.94693315,11407429887.685959,155.60169982910156,155.60169982910156,366.7526550292969,-0.09523703568512142,1.1659555858305053,14.434370040893555,14.378096580505371
0017MR0000500330100105C00_DRCL.JPG,0,6349.0,8270.0,7087.0,6212.0,5210.0,4103.0,3224.0,2426.0,1716.0,1240.0,12427.0,4021.2425383528453,90001748.2388987,11304010033.809788,155.1309814453125,155.1309814453125,387.64886474609375,-0.02732104405825657,0.9385720305437202,14.561202049255371,14.523709297180176
0017MR0000510000100106C00_DRCL.JPG,0,2901.0,5934.0,7283.0,7191.0,6459.0,5104.0,4006.0,2944.0,2127.0,1489.0,15255.0,4761.116098360873,103267963.97624955,14998715213.515568,161.8278045654297,161.8278045654297,277.23736572265625,-0.2488215922634422,1.4116007897010237,14.480313301086426,14.278514862060547
0017MR0000510010100107C00_DRCL.JPG,0,3912.0,7688.0,8801.0,7905.0,6274.0,4613.0,3256.0,2084.0,1391.0,870.0,14638.0,3995.5983289408628,87354799.76659814,12480034738.940578,158.00978088378906,158.00978088378906,294.1933288574219,-0.2539520453016391,1.1828391037442874,14.360330581665039,14.417794227600098
0017MR0000510020100108C00_DRCL.JPG,0,4193.0,8078.0,9022.0,7852.0,6195.0,4442.0,3068.0,1957.0,1355.0,824.0,14130.0,3919.428318090336,86595127.8455925,12163429881.712822,157.428955078125,157.428955078125,301.40863037109375,-0.2359362726199492,1.049901188748442,14.560259819030762,14.371264457702637
0017MR0000510030100109C00_DRCL.JPG,0,4295.0,8391.0,9144.0,7912.0,6106.0,4252.0,2998.0,1908.0,1235.0,778.0,13929.0,3868.210577502475,86327879.73053169,11912594173.790989,157.040283203125,157.040283203125,303.64886474609375,-0.22730759657204194,1.1397207821063882,14.429815292358398,14.28419017791748
0017MR0000510040100110C00_DRCL.JPG,0,4225.0,8146.0,8837.0,7609.0,5931.0,4302.0,3100.0,2166.0,1360.0,1005.0,14003.0,3915.7822595846205,89576145.12502071,11866649321.021244,156.8637237548828,156.8637237548828,322.39019775390625,-0.20782258962911224,0.9699193466347125,14.507964134216309,14.408231735229492
